round,variant,count,shape,repeat,link_ns,output_arena_bytes,sort_scratch_bytes,checksum,failed
0,base,65536,1,7,5991702,7144728,0,36506664960,0
0,patch,65536,1,0,9601368,7144728,0,36506664960,0
0,patch,65536,1,1,1738750,7144728,0,36506664960,0
0,patch,65536,1,2,1795927,7144728,0,36506664960,0
0,patch,65536,1,3,6962726,7144728,0,36506664960,0
0,patch,65536,1,4,1838049,7144728,0,36506664960,0
0,patch,65536,1,5,5700875,7144728,0,36506664960,0
0,patch,65536,1,6,2045029,7144728,0,36506664960,0
0,patch,65536,1,7,5684126,7144728,0,36506664960,0
0,base,65536,2,0,9311078,7144728,0,36506664960,0
0,base,65536,2,1,2516575,7144728,0,36506664960,0
0,base,65536,2,2,2160439,7144728,0,36506664960,0
0,base,65536,2,3,6673624,7144728,0,36506664960,0
0,base,65536,2,4,2541301,7144728,0,36506664960,0
0,base,65536,2,5,6343581,7144728,0,36506664960,0
0,base,65536,2,6,6075844,7144728,0,36506664960,0
0,base,65536,2,7,2386799,7144728,0,36506664960,0
0,patch,65536,2,0,12481959,7144728,0,36506664960,0
0,patch,65536,2,1,1952250,7144728,0,36506664960,0
0,patch,65536,2,2,5668709,7144728,0,36506664960,0
0,patch,65536,2,3,1200159,7144728,0,36506664960,0
0,patch,65536,2,4,1162836,7144728,0,36506664960,0
0,patch,65536,2,5,17464410,7144728,0,36506664960,0
0,patch,65536,2,6,1706720,7144728,0,36506664960,0
0,patch,65536,2,7,2481071,7144728,0,36506664960,0
1,patch,8,0,0,4701,2176,160,476,0
1,patch,8,0,1,2084,2176,160,476,0
1,patch,8,0,2,1415,2176,160,476,0
1,patch,8,0,3,1493,2176,160,476,0
1,patch,8,0,4,1567,2176,160,476,0
1,patch,8,0,5,1357,2176,160,476,0
1,patch,8,0,6,1315,2176,160,476,0
1,patch,8,0,7,1550,2176,160,476,0
1,base,8,0,0,4041,2176,160,476,0
1,base,8,0,1,1334,2176,160,476,0
1,base,8,0,2,804,2176,160,476,0
1,base,8,0,3,649,2176,160,476,0
1,base,8,0,4,587,2176,160,476,0
1,base,8,0,5,672,2176,160,476,0
1,base,8,0,6,763,2176,160,476,0
1,base,8,0,7,699,2176,160,476,0
1,patch,1024,0,0,87186,112920,20480,8904192,0
1,patch,1024,0,1,40563,112920,20480,8904192,0
1,patch,1024,0,2,40939,112920,20480,8904192,0
1,patch,1024,0,3,39952,112920,20480,8904192,0
1,patch,1024,0,4,39800,112920,20480,8904192,0
1,patch,1024,0,5,74109,112920,20480,8904192,0
1,patch,1024,0,6,40453,112920,20480,8904192,0
1,patch,1024,0,7,41294,112920,20480,8904192,0
1,base,1024,0,0,526849,112920,20480,8904192,0
1,base,1024,0,1,437996,112920,20480,8904192,0
1,base,1024,0,2,488974,112920,20480,8904192,0
1,base,1024,0,3,424214,112920,20480,8904192,0
1,base,1024,0,4,4678751,112920,20480,8904192,0
1,base,1024,0,5,697363,112920,20480,8904192,0
1,base,1024,0,6,504615,112920,20480,8904192,0
1,base,1024,0,7,433624,112920,20480,8904192,0
1,patch,4096,0,0,464106,447768,81920,142571520,0
1,patch,4096,0,1,169140,447768,81920,142571520,0
1,patch,4096,0,2,189632,447768,81920,142571520,0
1,patch,4096,0,3,610172,447768,81920,142571520,0
1,patch,4096,0,4,165210,447768,81920,142571520,0
1,patch,4096,0,5,197028,447768,81920,142571520,0
1,patch,4096,0,6,164176,447768,81920,142571520,0
1,patch,4096,0,7,174950,447768,81920,142571520,0
1,base,4096,0,0,15013255,447768,81920,142571520,0
1,base,4096,0,1,21604085,447768,81920,142571520,0
1,base,4096,0,2,16047013,447768,81920,142571520,0
1,base,4096,0,3,15599969,447768,81920,142571520,0
1,base,4096,0,4,15074610,447768,81920,142571520,0
