round,variant,count,shape,repeat,link_ns,cpu_ns,output_arena_bytes,sort_scratch_bytes,checksum,failed
1,base,4096,0,6,22574828,10642000,447768,81920,142571520,0
1,base,4096,0,7,22022682,8220000,447768,81920,142571520,0
1,patch,8192,0,0,896934,908000,894232,163840,570355712,0
1,patch,8192,0,1,4488144,479000,894232,163840,570355712,0
1,patch,8192,0,2,380654,382000,894232,163840,570355712,0
1,patch,8192,0,3,395475,397000,894232,163840,570355712,0
1,patch,8192,0,4,374436,376000,894232,163840,570355712,0
1,patch,8192,0,5,395260,396000,894232,163840,570355712,0
1,patch,8192,0,6,365131,367000,894232,163840,570355712,0
1,patch,8192,0,7,363818,365000,894232,163840,570355712,0
1,base,8192,0,0,74770925,33264000,894232,163840,570355712,0
1,base,8192,0,1,62184082,32842000,894232,163840,570355712,0
1,base,8192,0,2,81073329,35246000,894232,163840,570355712,0
1,base,8192,0,3,80409360,35264000,894232,163840,570355712,0
1,base,8192,0,4,70268087,30320000,894232,163840,570355712,0
1,base,8192,0,5,60411562,32456000,894232,163840,570355712,0
1,base,8192,0,6,81337465,35457000,894232,163840,570355712,0
1,base,8192,0,7,82643176,34742000,894232,163840,570355712,0
1,patch,16384,0,0,6193250,2203000,1787160,327680,2281562112,0
1,patch,16384,0,1,974149,978000,1787160,327680,2281562112,0
1,patch,16384,0,2,827602,830000,1787160,327680,2281562112,0
1,patch,16384,0,3,1123974,1128000,1787160,327680,2281562112,0
1,patch,16384,0,4,1184228,1189000,1787160,327680,2281562112,0
1,patch,16384,0,5,822613,826000,1787160,327680,2281562112,0
1,patch,16384,0,6,797184,801000,1787160,327680,2281562112,0
1,patch,16384,0,7,5081284,1069000,1787160,327680,2281562112,0
1,base,16384,0,0,332473524,146362000,1787160,327680,2281562112,0
1,base,16384,0,1,299531240,134073000,1787160,327680,2281562112,0
1,base,16384,0,2,270271662,123448000,1787160,327680,2281562112,0
1,base,16384,0,3,438915895,139100000,1787160,327680,2281562112,0
1,base,16384,0,4,324197815,151612000,1787160,327680,2281562112,0
1,base,16384,0,5,283696046,125102000,1787160,327680,2281562112,0
1,base,16384,0,6,268825634,120253000,1787160,327680,2281562112,0
1,base,16384,0,7,294223704,128707000,1787160,327680,2281562112,0
1,patch,32768,0,0,8983288,4980000,3573016,655360,9126526976,0
1,patch,32768,0,1,1958629,1961000,3573016,655360,9126526976,0
1,patch,32768,0,2,1948274,1951000,3573016,655360,9126526976,0
1,patch,32768,0,3,1866944,1869000,3573016,655360,9126526976,0
1,patch,32768,0,4,1912333,1921000,3573016,655360,9126526976,0
1,patch,32768,0,5,6917655,2957000,3573016,655360,9126526976,0
1,patch,32768,0,6,1855430,1858000,3573016,655360,9126526976,0
1,patch,32768,0,7,5938532,1946000,3573016,655360,9126526976,0
1,base,32768,0,0,1156785264,510864000,3573016,655360,9126526976,0
1,base,32768,0,1,1148384524,509146000,3573016,655360,9126526976,0
1,base,32768,0,2,1179270232,517383000,3573016,655360,9126526976,0
1,base,32768,0,3,1211672045,520187000,3573016,655360,9126526976,0
1,base,32768,0,4,1117291430,495999000,3573016,655360,9126526976,0
1,base,32768,0,5,1167357908,508279000,3573016,655360,9126526976,0
1,base,32768,0,6,1121716089,490442000,3573016,655360,9126526976,0
1,base,32768,0,7,1158562963,501314000,3573016,655360,9126526976,0
1,patch,65536,0,0,33581590,9537000,7144728,1310720,36506664960,0
1,patch,65536,0,1,8480029,4377000,7144728,1310720,36506664960,0
1,patch,65536,0,2,7858458,3894000,7144728,1310720,36506664960,0
1,patch,65536,0,3,7936409,3909000,7144728,1310720,36506664960,0
1,patch,65536,0,4,7827924,3834000,7144728,1310720,36506664960,0
1,patch,65536,0,5,8075398,4085000,7144728,1310720,36506664960,0
1,patch,65536,0,6,6792228,3852000,7144728,1310720,36506664960,0
1,patch,65536,0,7,6860911,4771000,7144728,1310720,36506664960,0
1,base,65536,0,0,4553539997,2005844000,7144728,1310720,36506664960,0
1,base,65536,0,1,5699729098,2086922000,7144728,1310720,36506664960,0
1,base,65536,0,2,4680102801,2026172000,7144728,1310720,36506664960,0
1,base,65536,0,3,4783520507,2105496000,7144728,1310720,36506664960,0
1,base,65536,0,4,5224868075,2092587000,7144728,1310720,36506664960,0
1,base,65536,0,5,4737523451,2016787000,7144728,1310720,36506664960,0
1,base,65536,0,6,4899763764,1998055000,7144728,1310720,36506664960,0
1,base,65536,0,7,4549324380,2015008000,7144728,1310720,36506664960,0
1,patch,8,1,0,4108,10000,2176,0,476,0
1,patch,8,1,1,894,1000,2176,0,476,0
1,patch,8,1,2,620,1000,2176,0,476,0
1,patch,8,1,3,596,1000,2176,0,476,0
1,patch,8,1,4,605,1000,2176,0,476,0
1,patch,8,1,5,579,1000,2176,0,476,0
1,patch,8,1,6,571,1000,2176,0,476,0
1,patch,8,1,7,622,1000,2176,0,476,0
1,base,8,1,0,5324,25000,2176,0,476,0
1,base,8,1,1,1048,2000,2176,0,476,0
1,base,8,1,2,507,1000,2176,0,476,0
1,base,8,1,3,553,0,2176,0,476,0
1,base,8,1,4,561,1000,2176,0,476,0
1,base,8,1,5,550,1000,2176,0,476,0
1,base,8,1,6,480,1000,2176,0,476,0
1,base,8,1,7,428,1000,2176,0,476,0
1,patch,1024,1,0,75229,81000,112920,0,8904192,0
1,patch,1024,1,1,25520,26000,112920,0,8904192,0
1,patch,1024,1,2,25273,26000,112920,0,8904192,0
1,patch,1024,1,3,25528,26000,112920,0,8904192,0
1,patch,1024,1,4,25673,26000,112920,0,8904192,0
1,patch,1024,1,5,26316,27000,112920,0,8904192,0
1,patch,1024,1,6,25637,26000,112920,0,8904192,0
1,patch,1024,1,7,25663,27000,112920,0,8904192,0
1,base,1024,1,0,200209,220000,112920,0,8904192,0
1,base,1024,1,1,23077,23000,112920,0,8904192,0
1,base,1024,1,2,19191,20000,112920,0,8904192,0
1,base,1024,1,3,19038,20000,112920,0,8904192,0
1,base,1024,1,4,19434,19000,112920,0,8904192,0
1,base,1024,1,5,20724,21000,112920,0,8904192,0
1,base,1024,1,6,21662,22000,112920,0,8904192,0
1,base,1024,1,7,21833,22000,112920,0,8904192,0
1,patch,65536,1,0,14242319,6453000,7144728,0,36506664960,0
1,patch,65536,1,1,2228534,2233000,7144728,0,36506664960,0
1,patch,65536,1,2,1758229,1772000,7144728,0,36506664960,0
1,patch,65536,1,3,1999599,2005000,7144728,0,36506664960,0
1,patch,65536,1,4,5934698,1987000,7144728,0,36506664960,0
1,patch,65536,1,5,2169440,2110000,7144728,0,36506664960,0
1,patch,65536,1,6,1631196,1636000,7144728,0,36506664960,0
1,patch,65536,1,7,2107216,2112000,7144728,0,36506664960,0
1,base,65536,1,0,10519087,6588000,7144728,0,36506664960,0
1,base,65536,1,1,3032388,3037000,7144728,0,36506664960,0
1,base,65536,1,2,2292067,2297000,7144728,0,36506664960,0
1,base,65536,1,3,2650453,2611000,7144728,0,36506664960,0
1,base,65536,1,4,1929591,1935000,7144728,0,36506664960,0
1,base,65536,1,5,2377735,2383000,7144728,0,36506664960,0
1,base,65536,1,6,1945448,1950000,7144728,0,36506664960,0
1,base,65536,1,7,1948199,1936000,7144728,0,36506664960,0
1,patch,65536,2,0,9978331,5975000,7144728,0,36506664960,0
1,patch,65536,2,1,1887237,1890000,7144728,0,36506664960,0
1,patch,65536,2,2,8859199,5199000,7144728,0,36506664960,0
1,patch,65536,2,3,7902064,4110000,7144728,0,36506664960,0
1,patch,65536,2,4,1961470,1964000,7144728,0,36506664960,0
1,patch,65536,2,5,2222703,2228000,7144728,0,36506664960,0
1,patch,65536,2,6,6055912,2012000,7144728,0,36506664960,0
1,patch,65536,2,7,2028657,2032000,7144728,0,36506664960,0
1,base,65536,2,0,8762484,4769000,7144728,0,36506664960,0
1,base,65536,2,1,2108173,2113000,7144728,0,36506664960,0
1,base,65536,2,2,1839755,1851000,7144728,0,36506664960,0
1,base,65536,2,3,1650032,1654000,7144728,0,36506664960,0
1,base,65536,2,4,1689298,1694000,7144728,0,36506664960,0
1,base,65536,2,5,1711556,1716000,7144728,0,36506664960,0
1,base,65536,2,6,1891899,1896000,7144728,0,36506664960,0
1,base,65536,2,7,6284500,2287000,7144728,0,36506664960,0
