# Exact instruction-count populations

unity-counts.txt: bytes=16875 sha256=4503aa9004b147016bdcfb5d80cff3b2ab6c357e3927f742b358bdc6544667fc
small-counts.txt: bytes=2 sha256=7de1555df0c2700329e815b93b32c571c3ea54dc967b89e81ab73b9972b72d1d

The ordered raw streams are retained in GitHub Actions artifact 10498099770.
The committed histograms below are lossless for the requested distribution and
preserve every distinct `function->instruction_count` and its multiplicity.

===== BEGIN unity-histogram.tsv =====
instruction_count	calls	instructions	clear_bytes
615	1	615	2460
616	3	1848	7392
617	2	1234	4936
618	1	618	2472
619	1	619	2476
620	1	620	2480
621	1	621	2484
622	1	622	2488
623	1	623	2492
625	1	625	2500
626	1	626	2504
627	1	627	2508
628	3	1884	7536
629	1	629	2516
630	1	630	2520
631	1	631	2524
632	1	632	2528
633	1	633	2532
635	1	635	2540
636	2	1272	5088
637	1	637	2548
639	2	1278	5112
640	1	640	2560
641	1	641	2564
642	3	1926	7704
644	2	1288	5152
646	1	646	2584
647	1	647	2588
649	1	649	2596
650	3	1950	7800
652	1	652	2608
653	1	653	2612
655	1	655	2620
656	3	1968	7872
657	2	1314	5256
658	1	658	2632
663	1	663	2652
664	1	664	2656
667	1	667	2668
669	1	669	2676
673	1	673	2692
677	1	677	2708
678	1	678	2712
681	1	681	2724
683	1	683	2732
684	1	684	2736
685	1	685	2740
690	1	690	2760
691	1	691	2764
692	1	692	2768
693	1	693	2772
695	2	1390	5560
700	1	700	2800
701	1	701	2804
702	1	702	2808
709	1	709	2836
711	1	711	2844
712	2	1424	5696
713	1	713	2852
714	1	714	2856
716	1	716	2864
719	1	719	2876
721	2	1442	5768
722	1	722	2888
729	1	729	2916
730	1	730	2920
733	1	733	2932
735	1	735	2940
738	2	1476	5904
740	2	1480	5920
741	1	741	2964
743	2	1486	5944
746	1	746	2984
750	1	750	3000
751	3	2253	9012
752	1	752	3008
755	1	755	3020
759	1	759	3036
761	2	1522	6088
766	1	766	3064
767	1	767	3068
768	1	768	3072
769	1	769	3076
770	1	770	3080
773	3	2319	9276
775	1	775	3100
777	1	777	3108
780	2	1560	6240
782	2	1564	6256
785	1	785	3140
788	1	788	3152
789	1	789	3156
790	1	790	3160
792	1	792	3168
801	1	801	3204
802	1	802	3208
803	1	803	3212
804	1	804	3216
805	1	805	3220
810	1	810	3240
811	1	811	3244
812	1	812	3248
814	1	814	3256
817	1	817	3268
818	3	2454	9816
820	1	820	3280
825	1	825	3300
829	1	829	3316
831	1	831	3324
832	1	832	3328
833	1	833	3332
837	1	837	3348
844	1	844	3376
850	2	1700	6800
852	1	852	3408
854	1	854	3416
858	1	858	3432
859	1	859	3436
862	1	862	3448
865	1	865	3460
882	2	1764	7056
884	1	884	3536
885	1	885	3540
886	1	886	3544
887	1	887	3548
890	1	890	3560
891	1	891	3564
897	1	897	3588
899	1	899	3596
904	1	904	3616
905	2	1810	7240
906	1	906	3624
907	1	907	3628
908	1	908	3632
913	2	1826	7304
924	1	924	3696
925	1	925	3700
930	1	930	3720
931	1	931	3724
942	2	1884	7536
943	1	943	3772
950	1	950	3800
951	1	951	3804
952	1	952	3808
965	1	965	3860
967	1	967	3868
969	1	969	3876
970	1	970	3880
980	1	980	3920
984	2	1968	7872
985	1	985	3940
988	1	988	3952
989	1	989	3956
990	1	990	3960
994	1	994	3976
1000	1	1000	4000
1007	1	1007	4028
1017	2	2034	8136
1018	1	1018	4072
1020	1	1020	4080
1026	1	1026	4104
1037	2	2074	8296
1042	1	1042	4168
1047	1	1047	4188
1051	1	1051	4204
1058	1	1058	4232
1059	1	1059	4236
1060	1	1060	4240
1069	1	1069	4276
1072	2	2144	8576
1075	1	1075	4300
1076	1	1076	4304
1088	2	2176	8704
1093	1	1093	4372
1098	1	1098	4392
1104	1	1104	4416
1105	2	2210	8840
1119	1	1119	4476
1126	1	1126	4504
1137	1	1137	4548
1144	1	1144	4576
1154	1	1154	4616
1155	1	1155	4620
1158	1	1158	4632
1164	1	1164	4656
1167	1	1167	4668
1170	1	1170	4680
1172	1	1172	4688
1175	1	1175	4700
1179	1	1179	4716
1185	1	1185	4740
1191	1	1191	4764
1193	1	1193	4772
1200	1	1200	4800
1216	1	1216	4864
1221	1	1221	4884
1227	1	1227	4908
1238	1	1238	4952
1241	1	1241	4964
1242	1	1242	4968
1243	1	1243	4972
1246	1	1246	4984
1261	1	1261	5044
1264	1	1264	5056
1270	1	1270	5080
1274	1	1274	5096
1275	1	1275	5100
1279	1	1279	5116
1282	1	1282	5128
1284	1	1284	5136
1291	1	1291	5164
1302	1	1302	5208
1304	1	1304	5216
1305	1	1305	5220
1307	2	2614	10456
1335	1	1335	5340
1340	1	1340	5360
1362	1	1362	5448
1373	1	1373	5492
1388	1	1388	5552
1433	1	1433	5732
1442	1	1442	5768
1443	1	1443	5772
1456	1	1456	5824
1464	2	2928	11712
1472	1	1472	5888
1474	1	1474	5896
1480	1	1480	5920
1486	1	1486	5944
1506	1	1506	6024
1512	1	1512	6048
1535	1	1535	6140
1540	1	1540	6160
1542	2	3084	12336
1545	1	1545	6180
1563	1	1563	6252
1570	1	1570	6280
1606	1	1606	6424
1614	1	1614	6456
1622	1	1622	6488
1646	1	1646	6584
1651	1	1651	6604
1653	1	1653	6612
1654	1	1654	6616
1658	1	1658	6632
1660	1	1660	6640
1663	1	1663	6652
1701	1	1701	6804
1705	1	1705	6820
1713	1	1713	6852
1716	1	1716	6864
1725	1	1725	6900
1729	2	3458	13832
1744	1	1744	6976
1745	1	1745	6980
1759	1	1759	7036
1773	1	1773	7092
1781	1	1781	7124
1787	1	1787	7148
1814	1	1814	7256
1853	1	1853	7412
1867	1	1867	7468
1891	1	1891	7564
1923	1	1923	7692
1935	1	1935	7740
1957	1	1957	7828
1963	1	1963	7852
1972	1	1972	7888
2038	1	2038	8152
2049	1	2049	8196
2055	1	2055	8220
2058	1	2058	8232
2070	1	2070	8280
2101	1	2101	8404
2107	1	2107	8428
2130	1	2130	8520
2135	1	2135	8540
2184	1	2184	8736
2200	1	2200	8800
2202	1	2202	8808
2220	1	2220	8880
2225	1	2225	8900
2257	1	2257	9028
2314	1	2314	9256
2315	1	2315	9260
2332	1	2332	9328
2348	1	2348	9392
2352	2	4704	18816
2373	1	2373	9492
2375	1	2375	9500
2383	1	2383	9532
2411	1	2411	9644
2452	1	2452	9808
2514	1	2514	10056
2522	1	2522	10088
2530	1	2530	10120
2551	1	2551	10204
2599	1	2599	10396
2620	1	2620	10480
2638	1	2638	10552
2643	1	2643	10572
2705	1	2705	10820
2737	1	2737	10948
2753	1	2753	11012
2759	1	2759	11036
2775	1	2775	11100
2778	1	2778	11112
2801	1	2801	11204
2889	1	2889	11556
2962	1	2962	11848
3032	1	3032	12128
3072	1	3072	12288
3178	1	3178	12712
3203	1	3203	12812
3210	1	3210	12840
3259	1	3259	13036
3295	1	3295	13180
3347	1	3347	13388
3378	1	3378	13512
3481	1	3481	13924
3580	1	3580	14320
3582	1	3582	14328
3658	1	3658	14632
3784	1	3784	15136
3811	1	3811	15244
3819	1	3819	15276
3960	1	3960	15840
4000	1	4000	16000
4245	1	4245	16980
4255	1	4255	17020
4348	1	4348	17392
4370	1	4370	17480
4630	1	4630	18520
4918	1	4918	19672
5292	1	5292	21168
6225	1	6225	24900
6324	1	6324	25296
6350	1	6350	25400
6416	1	6416	25664
6533	1	6533	26132
6556	1	6556	26224
7398	1	7398	29592
7675	1	7675	30700
8259	1	8259	33036
8387	1	8387	33548
8463	1	8463	33852
9385	1	9385	37540
9711	1	9711	38844
9802	1	9802	39208
10065	1	10065	40260
10087	1	10087	40348
10532	1	10532	42128
11479	1	11479	45916
12534	1	12534	50136
13260	1	13260	53040
16898	1	16898	67592
69227	1	69227	276908
===== END unity-histogram.tsv =====

===== BEGIN small-histogram.tsv =====
instruction_count	calls	instructions	clear_bytes
4	1	4	16
===== END small-histogram.tsv =====

