workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256
shallow-2048,counter,1,False,before,,,,,478566805,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,counter,2,False,before,,,,,478566790,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-2048,counter,2,False,after,,,,,478952496,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2
shallow-256,timing,-2,True,before,16228174,12015000,4011000,67940,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,-2,True,after,16986819,13795000,2968000,68624,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,-1,True,after,16224599,11978000,4018000,68460,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,-1,True,before,15633871,12346000,3092000,68100,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,0,False,before,15061588,11916000,2966000,68188,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,0,False,after,15294639,9459000,5668000,68436,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,1,False,after,15330858,11119000,4008000,68584,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,1,False,before,15113288,10961000,3963000,68144,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,2,False,before,15618670,11303000,4126000,68096,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,2,False,after,16201563,13011000,3006000,68112,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,3,False,after,16089907,10916000,4969000,68492,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,3,False,before,16785091,14529000,2064000,67800,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,4,False,before,16568596,12507000,3863000,68156,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,4,False,after,15712586,12600000,2907000,68108,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,5,False,after,16410922,11438000,4770000,68396,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,5,False,before,16608644,12310000,4103000,68172,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,6,False,before,15918070,12822000,2895000,68040,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,6,False,after,16269070,12995000,3007000,68552,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,7,False,after,15800206,11696000,3919000,68472,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,7,False,before,15689008,12370000,3091000,68184,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,8,False,before,16080729,11909000,3974000,68408,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,timing,8,False,after,15755782,12461000,3125000,68244,,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,counter,0,False,before,,,,,127126246,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,counter,0,False,after,,,,,127174602,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,counter,1,False,after,,,,,127174493,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,counter,1,False,before,,,,,127126639,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,counter,2,False,before,,,,,127126468,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-256,counter,2,False,after,,,,,127174273,0b788ec286fbd9cb7b9c95b5c9551744380473978e4fd3fa53a7a4527bb0c428
shallow-64,timing,-2,True,before,15255790,10049000,5027000,57852,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,-2,True,after,16075652,13932000,1961000,58284,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,-1,True,after,16613939,11484000,4781000,58296,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,-1,True,before,17761568,11638000,5846000,57440,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,0,False,before,19663850,14268000,5104000,57628,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,0,False,after,21972825,14711000,6772000,58036,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,1,False,after,2782512557,10632000,2128000,57988,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,1,False,before,23010600,14419000,6181000,57984,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,2,False,before,12890165,9497000,3175000,57796,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,2,False,after,13713624,8679000,4848000,58220,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,3,False,after,13403457,10369000,2839000,58356,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,3,False,before,13386218,9457000,3790000,57856,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,4,False,before,13332748,10131000,3043000,57876,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
shallow-64,timing,4,False,after,12635566,9603000,2887000,58352,,07e71db8afc214af741dc239931201eee9ba176b6cb10eef81077500e5f486c9
