workload,series,pair,compiler,wall_s,user_s,system_s,rss_kib,minor_faults,major_faults,sha256
member_stress,before_pause,16,candidate,0.18990739899891196,0.05033,0.030487,43724,6086,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,17,baseline,0.17541898300260073,0.057422,0.024859,47072,5949,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,17,candidate,0.1892719909956213,0.062255,0.024024,37312,6519,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,18,candidate,0.17280048900283873,0.060117,0.021175,39268,6520,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,18,baseline,0.17775357399659697,0.052805,0.02473,38792,6436,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,19,baseline,0.2023801379982615,0.05355,0.024870999999999997,40856,6433,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,19,candidate,0.3117263579988503,0.055451,0.026719,37348,6520,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,20,baseline,0.9270244430008461,0.061138,0.028221999999999997,40888,6432,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,20,candidate,0.5113234759992338,0.077558,0.030219,46912,6367,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,21,candidate,1.5529038189997664,0.077621,0.027363,37396,6522,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,21,baseline,0.4194936450003297,0.07624199999999999,0.010894,99532,985,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,22,baseline,0.14408832500339486,0.07331499999999999,0.019433,99472,981,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,22,candidate,0.3090694229977089,0.11270799999999999,0.020235,98228,632,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,23,candidate,0.2845834549952997,0.142264,0.03498,97928,1075,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,23,baseline,2.7745307520017377,0.238199,0.057922999999999995,99468,980,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
member_stress,before_pause,counter,baseline,6.386422900999605,0.317558,0.128362,99524,2381,0,c0e8d9e046f694a287a7acc706924140afa63caf20789e329f7a714e0afe8b4e
