workload,pair,mode,elapsed_ns,cpu_seconds,user_seconds,system_seconds,rss_kib,output_bytes,output_sha256,instructions:u,cycles:u,task-clock:u,minor_faults,major_faults
operations,28,reference,20894866,0.020291999999999998,0.017272,0.0030199999999999997,60732,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472834.0,46089997.0,17.29,511,0
operations,28,direct,19202631,0.018679,0.013783,0.004896,60640,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573340.0,49128236.0,19.64,514,0
operations,29,direct,24714744,0.024099,0.01909,0.0050089999999999996,60760,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573299.0,53338099.0,20.82,507,0
operations,29,reference,19342931,0.018907999999999998,0.014965,0.0039429999999999995,60556,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472576.0,46895975.0,17.95,958,0
operations,30,direct,18671701,0.018178,0.013382999999999999,0.004795,60612,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573518.0,49160165.0,19.1,506,0
operations,30,reference,18489991,0.017904999999999997,0.01194,0.005965,60776,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471779.0,46962039.0,17.49,511,0
operations,31,direct,18744876,0.018300999999999998,0.014275,0.004026,60724,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572866.0,47986148.0,17.73,963,0
operations,31,reference,18608490,0.018213999999999998,0.014377,0.0038369999999999997,60800,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472427.0,46953707.0,17.63,981,0
operations,32,direct,18583613,0.018173,0.013117,0.005056,60716,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573386.0,46442082.0,18.26,961,0
operations,32,reference,18284423,0.017856999999999998,0.014894999999999999,0.002962,60748,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472314.0,47439388.0,18.13,510,0
operations,33,direct,18589046,0.018181,0.015149999999999999,0.003031,60724,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573370.0,46259191.0,17.79,963,0
operations,33,reference,19770146,0.018785,0.013143,0.0056419999999999994,60596,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472456.0,46195773.0,17.26,992,0
operations,34,reference,18936855,0.018508,0.013358,0.00515,60492,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472283.0,46470332.0,16.98,972,0
operations,34,direct,19913951,0.019500999999999998,0.015399999999999999,0.004101,60676,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573225.0,46938364.0,17.41,1001,0
operations,35,reference,19032906,0.018372,0.012563999999999999,0.005808,60708,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471505.0,47712379.0,17.6,951,0
operations,35,direct,18886092,0.018453999999999998,0.015533,0.002921,60712,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572715.0,51709450.0,19.32,510,0
operations,36,direct,20236093,0.019777999999999997,0.013841,0.005937,60932,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573018.0,48719785.0,19.84,960,0
operations,36,reference,23418780,0.022756,0.019740999999999998,0.003015,60688,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471972.0,47749438.0,18.79,511,0
operations,37,direct,19786916,0.019264,0.015198,0.004066,60396,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572742.0,46604629.0,17.91,954,0
operations,37,reference,18947265,0.018346,0.014494,0.003852,60788,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471946.0,46967671.0,17.94,505,0
operations,38,direct,19355550,0.018809999999999997,0.015861999999999998,0.0029479999999999997,60416,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573276.0,45919369.0,17.73,953,0
operations,38,reference,18273756,0.017886,0.012912999999999999,0.004973,60472,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472451.0,44887452.0,17.54,954,0
operations,39,reference,18271080,0.017877999999999998,0.013902,0.0039759999999999995,60628,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471876.0,45607380.0,17.46,958,0
operations,39,direct,18597719,0.018195,0.014182,0.004013,60496,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573283.0,45061503.0,16.99,981,0
operations,40,direct,18125926,0.017759999999999998,0.014627,0.003133,60772,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573535.0,46906211.0,17.51,512,0
operations,40,reference,18626325,0.018119999999999997,0.014086999999999999,0.004033,60276,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472449.0,46006744.0,17.21,952,0
operations,41,reference,18518414,0.01811,0.013372,0.004738,60824,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472486.0,46954509.0,17.62,515,0
operations,41,direct,18478044,0.018063999999999997,0.014055999999999999,0.004007999999999999,60756,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107573403.0,47086649.0,17.47,510,0
operations,42,reference,19441525,0.018965,0.015974,0.0029909999999999997,60728,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472153.0,46346232.0,16.98,957,0
operations,42,direct,20617603,0.020013999999999997,0.013045999999999999,0.006967999999999999,60664,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572790.0,47901981.0,17.76,957,0
operations,43,reference,19954099,0.019342,0.016271,0.003071,60616,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107472701.0,46603018.0,18.91,959,0
operations,43,direct,20239197,0.019757,0.014797,0.00496,60368,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572607.0,45566693.0,17.8,954,0
operations,44,direct,20206328,0.019731,0.015806,0.003925,60576,68072,52eeba97bbedb7c7870960a0320c699a1b4398595be318a070b53dda4718bda4,107572753.0,46251873.0,18.35,959,0
operations,44,reference,19052239,0.018611999999999997,0.015691999999999998,0.00292,60912,68072,b9294ccf26867c4166b41f708fc062a12501d543a47e3889e071d57e0eca28e0,107471497.0,45613934.0,17.86,960,0
