workload,phase,pair,warmup,variant,wallNs,userCpuNs,systemCpuNs,maxRssKiB,instructionsUser,sha256,command
operations,timing,1,False,after,45890006,19705000,1715000,60056,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-1-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,1,False,before,43633645,19166000,2562000,59992,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-1-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,2,False,before,44112809,16962000,4232000,59912,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-2-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,2,False,after,42978955,17695000,3717000,60296,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-2-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,3,False,after,43241434,18196000,2111000,60300,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-3-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,3,False,before,45819289,17657000,4893000,59856,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-3-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,4,False,before,45577165,19727000,2323000,59992,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-4-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,4,False,after,46756510,15417000,7252000,60280,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-4-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,5,False,after,41938515,18547000,2459000,60400,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-5-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,5,False,before,41689266,16281000,4537000,59964,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-5-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,6,False,before,41121490,15311000,4706000,59628,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-6-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,6,False,after,40000511,17554000,2292000,60276,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-6-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,7,False,after,40193254,15988000,3993000,59876,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-7-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,7,False,before,40156991,15831000,4217000,59984,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-7-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,8,False,before,40221822,11646000,8427000,59672,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-operations-timing-8-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,timing,8,False,after,38556261,15434000,3309000,60248,,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-operations-timing-8-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,counter,0,False,before,,,,,107573809,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""BASELINE"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,counter,0,False,after,,,,,107573581,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""CANDIDATE"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,counter,1,False,after,,,,,107572717,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""CANDIDATE"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,counter,1,False,before,,,,,107573325,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""BASELINE"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,counter,2,False,before,,,,,107573260,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""BASELINE"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
operations,counter,2,False,after,,,,,107573657,92e3917c6808e7e0661d88aed172f635a29171231a8bdb702bcf4a0fdc646013,"[""taskset"", ""-c"", ""2"", ""perf"", ""stat"", ""-x"", "";"", ""-e"", ""instructions:u"", ""--"", ""CANDIDATE"", ""cc"", ""-c"", ""-g"", ""CORPUS/operations.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,-2,True,before,1202237935,61233000,9250000,137888,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing--2-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,-2,True,after,178989051,62342000,11156000,137912,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing--2-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,-1,True,after,179508383,70131000,12480000,138384,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing--1-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,-1,True,before,138788323,56788000,8815000,137984,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing--1-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,0,False,before,135071131,57411000,7052000,137760,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-0-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,0,False,after,132235633,55657000,7080000,138144,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-0-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,1,False,after,137541478,59543000,6134000,138588,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-1-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,1,False,before,138328646,54069000,10215000,137928,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-1-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,2,False,before,135416270,46960000,17476000,137780,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-2-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,2,False,after,133983731,54760000,9137000,137904,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-2-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,3,False,after,139092519,57578000,8078000,138004,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-3-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,3,False,before,144237853,57773000,8671000,137976,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-3-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,4,False,before,132312340,53643000,9583000,137964,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-4-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,4,False,after,134342386,58549000,4691000,138160,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-4-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,5,False,after,132527347,53702000,9278000,138168,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""CANDIDATE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-5-after.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
shallow-2048,timing,5,False,before,145200670,56525000,9859000,137992,,955eaddcaa41b9c4faa0f7a3f380585abaad104b441a6a691ec693d6665c21a2,"[""LAUNCHER"", ""BASELINE"", ""REPORT_DIR/abi-benchmark-shallow-2048-timing-5-before.json"", ""--"", ""cc"", ""-c"", ""-g"", ""CORPUS/shallow-2048.c"", ""-o"", ""CORPUS/comparison.o""]"
